sentence,genre
send babi man come ,blues
send babi man come ,blues
doctor hot spring sure cant help none ,blues
im gonna shoot pistol gonna shoot gatl gun ,blues
im gonna shoot pistol gotta shoot gatl gun ,blues
made love man come ,blues
ahoh babi stay last night ,blues
ahah babi stay last night ,blues
got hair tangl aint talk right ,blues
38 special boy well ,blues
38 special boy well ,blues
got 3220 aburn ,blues
send babi man come ,blues
send babi man come ,blues
doctor wisconsin sure cant help none ,blues
hey hey babi stay last night ,blues
hey hey babi stay last night ,blues
come home sun shine bright ,blues
ahoh boy cant take rest ,blues
ahoh boy cant take rest ,blues
3220 lay breast ,blues
got kind heart mama ,blues
anyth world ,blues
got kind heart mama ,blues
anyth world ,blues
evilheart woman ,blues
man let ,blues
love babi ,blues
babi love ,blues
love babi oooh ,blues
babi love ,blues
realli love woman ,blues
cant stand leav ,blues
aaint one thing ,blues
make mister johnson drink ,blues
worri bout treat babi ,blues
begin think ,blues
oh babe life feel ,blues
break heart ,blues
call mister soandso name ,blues
kindheart woman ,blues
studi evil time ,blues
kindheart woman ,blues
studi evil time ,blues
well kill ,blues
mind ,blues
possess judgment day ,blues
possess judgment day ,blues
lord littl woman im love right pray ,blues
went mountain look far eye could see ,blues
went mountain look far eye would see ,blues
man got woman lonesom blue got ,blues
roll tumbl cri whole night long ,blues
roll tumbl cri whole night long ,blues
boy woke morn biscuit roller gone ,blues
fold arm slowli walk away ,blues
like way done ,blues
fold arm slowli walk away ,blues
said mind yo troubl gon come day ,blues
run babi set knee ,blues
run babi set knee ,blues
wanna tell way treat ,blues
mmmmm mmmmm ,blues
mornin ah blue walkin like man ,blues
mornin ah blue walkin like man ,blues
worri blue give right hand ,blues
blue fell mama child tore upsid ,blues
blue fell mama child tore upsid ,blues
travel poor bob cant turn round ,blues
blue lowdown shakin chill ,blues
ye preach em ,blues
mmmmm mmmmm ,blues
lowdown shakin chill ,blues
aint never em hope never ,blues
well blue achin old heart diseas ,blues
gon tell ,blues
blue lowdown achin heart diseas ,blues
like consumpt kill degre ,blues
studi rain oh oh drive oh oh drive blue ,blues
studyin rain im drive blue away ,blues
goin stilry1 stay day ,blues
got good friend stay right side ,blues
got good friend stay right side ,blues
give spare time love treat right ,blues
mistreat babi cant see reason ,blues
mistreat babi cant see reason ,blues
everi time think wring hand cri ,blues
wonder could bear apolog would sympath ,blues
mmm mmm mmm would sympath ,blues
brown skin woman sweet girl friend ,blues
mmm mmm babe may right ay wrong ,blues
babi yowhi opinion oh may right ay wrong ,blues
watch close friend babi enemi cant harm ,blues
got good friend stay right side ,blues
got good friend stay right side ,blues
give spare time love treat right ,blues
rambl mind ,blues
got ramblin ,blues
got rambl mind ,blues
got ramblin ,blues
got ramblin mind ,blues
hate leav babi ,blues
treat unkind ,blues
got mean thing ,blues
got mean thing mind ,blues
littl girl littl girl ,blues
got mean thing mind ,blues
hate leav babi ,blues
treat unkind ,blues
got stone passway ,blues
road seem dark night ,blues
got stone passway ,blues
road seem dark night ,blues
pain heart ,blues
taken appetit ,blues
bird whistl ,blues
bird sing ,blues
bird whistl ,blues
bird sing ,blues
woman im love ,blues
boy mean thing ,blues
enemi betray ,blues
overtaken poor bob last ,blues
enemi betray ,blues
overtaken poor bob last ,blues
ere one thing certainli ,blues
stone pa ,blues
tri take life ,blues
love ,blues
laid passway ,blues
tri ,blues
im cri pleas ,blues
pleas let u friend ,blues
hear howl passway rider ,blues
pleas open door let ,blues
ive got three leg truck home ,blues
boy pleas block road ,blues
ive got three leg truck home ,blues
boy pleas block road ,blues
ive feel asham rider ,blues
babe im book got go ,blues
man get person want fun ,blues
man get person want fun ,blues
come back friar point mama barrelhous night long ,blues
got woman vicksburg clean tennesse ,blues
got woman vicksburg clean tennesse ,blues
friar point rider hop ,blues
aint gon state color front teeth crown gold ,blues
aint gon state color front teeth crown gold ,blues
got mortgag bodi lien soul ,blues
lord im go rosedal gon take rider side ,blues
lord im go rosedal gon take rider side ,blues
still barrelhous babi caus riversid ,blues
squeez lemon til juic run ,blues
til juic run leg babi know im talk ,blues
squeez lemon til juic run leg ,blues
that im talk bout ,blues
im go back friar point rock head ,blues
tell milk cow earth wrong ,blues
ooo ooo eee milk cow earth wrong ,blues
littl calf hoo hoo milk turnin blue ,blues
calf hungri believ need suck ,blues
calf hungri hoo hoo believ need suck ,blues
milk turnin blue hoo hoo believ he outta luck ,blues
feel like milkin cow come ,blues
feel like churnin milk turn ,blues
im cryin pleas pleas wrong ,blues
see milk cow babi nowhow pleas drive home ,blues
milk cow ramblin hoo hee mile around ,blues
milk cow ramblin hoo hoo mile around ,blues
well suck man bull cow ,blues
hoo hoo strang man town ,blues
earli mornin ,blues
knock upon door ,blues
earli mornin whoooo ,blues
knock upon door ,blues
said hello satan ,blues
believ time go ,blues
devil ,blues
walkin side side ,blues
devil whoooo ,blues
walkin side side ,blues
im go beat woman ,blues
get satisfi ,blues
said see ,blues
would dog round ,blues
babi know aint doin right dontcha ,blues
say see whoooo ,blues
would dog round ,blues
musta old evil spirit ,blues
deep ground ,blues
may buri bodi ,blues
highway side ,blues
babi care buri bodi im dead gone ,blues
may buri bodi whoooo ,blues
highway side ,blues
old evil spirit ,blues
get greyhound bu ride ,blues
got keep movin got keep movin ,blues
blue fallin like hail blue fallin like hail ,blues
umm mmm mmm mmm ,blues
blue fallin like hail blue fallin like hail ,blues
day keep worryin ,blues
there hellhound trail hellhound trail ,blues
hellhound trail ,blues
today christma eve today christma eve ,blues
tomorrow christma day ,blues
today christma eve tomorrow christma day ,blues
aw time babi ,blues
would need littl sweet rider ,blues
pa time away huh huh pa time away ,blues
sprinkl hot foot powder mmm mmm around door ,blues
around door ,blues
sprinkl hot foot powder around daddi door hmm hmm hmm ,blues
keep ramblin mind rider everi old place go ,blues
everi old place go ,blues
tell wind risin leaf tremblin tree ,blues
tremblin tree ,blues
tell wind risin leaf tremblin tree ,blues
hmm hmm hmm mmm ,blues
need littl sweet woman keep compani hey hey hey hey ,blues
compani ,blues
man get person want fun ,blues
man get person want fun ,blues
come back friar point mama barrelhous night long ,blues
got woman vicksburg clean tennesse ,blues
got woman vicksburg clean tennesse ,blues
friar point rider hop ,blues
aint gon state color front teeth crown gold ,blues
aint gon state color front teeth crown gold ,blues
got mortgag bodi lien soul ,blues
lord im go rosedal gon take rider side ,blues
lord im go rosedal gon take rider side ,blues
still barrelhous babi caus riversid ,blues
squeez lemon til juic run ,blues
til juic run leg babi know im talk ,blues
squeez lemon til juic run leg ,blues
that im talk bout ,blues
im go back friar point rock head ,blues
well met well met said old true love ,blues
well met well met said ,blues
ive return salt salt sea ,blues
love thee ,blues
come come old true love ,blues
seat ,blues
three fourth long long year ,blues
sinc togeth ,blues
cant come cant sit ,blues
moment time ,blues
say marri hous carpent ,blues
heart never mine ,blues
yet could marri king daughter dear ,blues
im sure shed marri ,blues
ive forsaken crown gold ,blues
love thee ,blues
forsaken hous carpent ,blues
go along ,blues
ill take grass grow green ,blues
bank deep blue sea ,blues
pick littl babe ,blues
kiss gave three ,blues
say stay right darl littl babe ,blues
keep papa compani ,blues
ship two week ,blues
im sure three ,blues
til true love began weep moan ,blues
weep bitterli ,blues
say weep silver gold ,blues
weep silver store ,blues
weep hous carpent ,blues
whose face never see ,blues
im weep silver gold ,blues
im weep store ,blues
weep darl littl babe ,blues
whose face ill never see ,blues
ship three week ,blues
im sure four ,blues
til sprung leak bottom ship ,blues
sunk never rise ,blues
drum still play ,blues
see march close ,blues
walk like shadow ,blues
danc like ghost ,blues
one look like jimmi lord scare ,blues
river rat jimmi jehosophat ,blues
play boyhood mumblypeg ,blues
six inch bowi blade ,blues
top redw kicker ,blues
muddi slipperi grade ,blues
fever pitch savannah grand daddi lay ,blues
river rat jimmi jehosophat ,blues
littl jimmi ghosti face ,blues
ate kitchen floor ,blues
caus womanmum threw dinner plate ,blues
drunken dad door ,blues
would cop can beer ,blues
close eye soar ,blues
river rat jimmi jehosophat ,blues
shout revel ,blues
boychild man ten ,blues
never look heaven ,blues
lord heaven ,blues
wrap bloodi finger like shineey mister zen ,blues
river rat jimmi jehosophat ,blues
sholi sholi ,blues
neither u knew whod pop ,blues
would sink lake ,blues
would run fast enough bow string would break ,blues
man cri tomorrow ,blues
cri shake ,blues
river rat jimmi jehosophat ,blues
one cold summer night salli slip away ,blues
door left open wide word say ,blues
hard luck took toll cant blame none ,blues
today might tomorrow ,blues
knew better fare girl home ,blues
hope settl life world roam ,blues
let prayer heard guid way ,blues
today might tomorrow ,blues
three year chang sinc held near ,blues
road ive look everywher ,blues
seen color hair ,blues
today might tomorrow ,blues
ill hobo son sure day ,blues
whittl hour memori blade ,blues
carv hand salli dear hope find ,blues
today might tomorrow ,blues
kati cellar door ,blues
call go ,blues
back clover ,blues
sing soft low ,blues
sing soft low ,blues
littl one mother ,blues
hold cri ,blues
hear kati call name ,blues
see die ,blues
kati say love ,blues
use feel ,blues
walk old boneyard ,blues
call name ,blues
hand hand laid deed ,blues
evil done ,blues
evil ,blues
mother son ,blues
kati kati stay away ,blues
could never quit ,blues
gotta let ,blues
sharpen razor pick piec ground ,blues
one dark moonless night ,blues
last around ,blues
lover turn walk away ,blues
follow close behind ,blues
troubl pocket ,blues
sorrow mind ,blues
hand hand laid deed ,blues
evil done ,blues
evil ,blues
mother son ,blues
kati kati stay away ,blues
could never quit ,blues
gotta let ,blues
sharpen razor pick piec ground ,blues
one dark moonless night ,blues
last around ,blues
dark final come ,blues
silenc wood ,blues
would man lord said could ,blues
god late night come ,blues
troubl ,blues
cold steel blade across neck ,blues
suffer ,blues
kati kati stay away ,blues
could never quit ,blues
gotta let ,blues
sharpen razor pick piec ground ,blues
one dark moonless night ,blues
last around ,blues
shed one tear broken famili ,blues
glass whiskey anoth friend ,blues
nowher ,blues
get foot road feel much better ,blues
gonna stop tri day year ,blues
meant told love ,blues
meant said goodby ,blues
grab suitcas kid ,blues
well find anoth place call home ,blues
oh get itch know ,blues
wander away ,blues
grey come wrinkl far behind ,blues
night think one lose mind ,blues
mayb get right time ,blues
mayb stay tonight ,blues
caus want see come reach neck ,blues
wander away ,blues
broken promis shoebox full bone ,blues
lie behind crow foot eye anyon ,blues
better roam ,blues
whatev happen fall wheel ,blues
danc fiddl tune devil heel ,blues
wander away ,blues
knee wobbl back keep go ,blues
tri sing like bird mumbl shout moan ,blues
wake anoth damn day ,blues
wish magic id make go away ,blues
last night dream saw tri scream ,blues
wander away ,blues
come good time peopl ,blues
ive got money spend ,blues
tomorrow might monday ,blues
never dollar friend ,blues
plenti money good peopl ,blues
friend would gather around ,blues
soon pocket book empti ,blues
friend earth could found ,blues
last time saw littl woman good peopl ,blues
wine glass hand ,blues
drink away troubl ,blues
lowdown sorri man ,blues
papa taught plenti good peopl ,blues
mama taught ,blues
quit lowdown rowdi way ,blues
im gonna troubl door ,blues
wrote woman letter good peopl ,blues
told jail ,blues
wrote back answer ,blues
said honey im soon come go bail ,blues
around old jail hous haunt good peopl ,blues
forti dollar pay fine ,blues
corn liquor surround bodi ,blues
pretti woman ach mind ,blues
wouldv listen mama good peopl ,blues
today ,blues
drink shoot gambl ,blues
home could stay ,blues
dig hole dig hole meadow ,blues
dig hole ground ,blues
im dead buri pale face turn toward sun ,blues
come see way done ,blues
give corn bread im hungri good peopl ,blues
corn whiski im dri ,blues
pretti woman surround bodi ,blues
bring heaven die ,blues
basebal cap flannel arm ,blues
danc voodoo doll ,blues
sweat roll old guitar ,blues
see thing way ,blues
crook look lay brow ,blues
besid wisecrack whiskey mouth ,blues
tip bottl pour ,blues
,blues
capman bootman ,blues
lay horizont lean slip finger across bar ,blues
whip high note frantic ,blues
skip manic songwrit pulleddown rhyme ,blues
leaveem hang halfway home ,blues
surpris thing twice ,blues
music boil rice ,blues
,blues
capman bootman ,blues
leav make sens behind ,blues
zen bazooka buddha joe ,blues
cornmeal guitar string ,blues
hate fli land life sing ,blues
he got cap boot coat ,blues
he got box song wrote ,blues
wonder hell find note ,blues
,blues
capman bootman ,blues
train left town ,blues
stand corner head hang ,blues
cri hey train carri girl away ,blues
cri hey train carri girl away town ,blues
ash ash dust dust ,blues
show woman trust ,blues
cri hey train carri girl away ,blues
cri hey train carri girl away town ,blues
wish lord train would wreck ,blues
kill engin break fireman neck ,blues
wish lord train would turn around ,blues
bring girl back town ,blues
cri hey train carri girl away ,blues
cri hey train carri girl away town ,blues
smokecloud rise head west ,blues
go babi love best ,blues
smokecloud fall sky ,blues
oh girl tell ,blues
train carri girl away town ,blues
train left town ,blues
piec lone piec mountainsid tumbl away ,blues
back river bottom line pocket worri stone ,blues
hundr year hand worn smooth long grandmoth night ,blues
sit rock chair wait world ,blues
oh could roll back year talk daddi dad ,blues
fear im leav mayb ,blues
might get light shine dusti old dri well ,blues
hear bucket hit bottom rope come roll ,blues
three hundr year time whenc came ,blues
someon yet figur lower gun ,blues
shoot middl claw stare eye ,blues
hear bucket hit bottom rope come roll ,blues
sit old rock chair wait world ,blues
mani time thought fallen ,blues
away waysid away grace ,blues
heart torn asund ,blues
leg buckl ,blues
one promis one prayer ,blues
believ ,blues
thou gonna save ,blues
offer one wayward sinner ,blues
confus surround waver faith ,blues
let go quiet ,blues
may listen ,blues
understand better weight cross ,blues
believ ,blues
thou gonna save ,blues
hearken voic ,blues
call morn ,blues
kingdom merci life time ,blues
mani time thought fallen ,blues
away waysid ,blues
heart fallen ,blues
leg buckl ,blues
one promis one prayer ,blues
believ ,blues
thou gonna save ,blues
hearken voic ,blues
call morn ,blues
kingdom merci life time ,blues
know hear prayer morn ,blues
im sure answer gave ,blues
continu step taken ,blues
embrac life begin away ,blues
believ ,blues
thou gonna save ,blues
sometim live countri ,blues
sometim live town ,blues
sometim grave notion ,blues
jump river drown ,blues
quit ramblin quit gamblin ,blues
quit stay late night ,blues
stay home wife famili ,blues
sit back firesid light ,blues
iren goodnight ,blues
iren goodnight ,blues
goodnight iren goodnight iren ,blues
see dream ,blues
ask mother ,blues
said young ,blues
said would never see face ,blues
well wish never born ,blues
goodnight iren goodnight ,blues
iren goodnight ,blues
goodnight iren goodnight iren ,blues
see ,blues
love iren god know ,blues
im gonna love till sea run dri ,blues
cant iren tonight ,blues
might take morphin die ,blues
yeah might take morphin die ,blues
iren goodnight iren goodnight ,blues
goodnight iren goodnight iren ,blues
see dream ,blues
see dream ,blues
well im love struck babi must confess ,blues
life without darlin solid mess ,blues
thinkin bout babi give thrill ,blues
gotta babi cant get fill ,blues
love ya babi know ,blues
still rememb let said ,blues
way make feel take fool forget ,blues
swore ton brick hit head ,blues
littl babi aint yet ,blues
everi time see ya make feel fine ,blues
heart beatin crazi blood runnin wild ,blues
lovin make feel like mighti mighti man ,blues
love babi aint man ,blues
im love struck babi ,blues
yeah im love struck babi ,blues
got love struck babi ,blues
know ,blues
spark start flyin everi time meet ,blues
let tell babi knock foot ,blues
kiss trip theyr doggon sweet ,blues
know babi cant beat ,blues
im love struck babi ,blues
yeah im love struck babi ,blues
got love struck babi ,blues
know ,blues
well heard love givin sight blind ,blues
babi lovin caus sun shine ,blues
sweet littl thing pride joy ,blues
sweet littl babi im littl lover boy ,blues
yeah love babi heart soul ,blues
love like never grow old ,blues
sweet littl thing pride joy ,blues
sweet littl babi im littl lover boy ,blues
yeah love babi long lean ,blues
mess see man get mean ,blues
sweet littl thing pride joy ,blues
sweet littl babi im littl lover boy ,blues
yeah love babi like finest wine ,blues
stick end time ,blues
sweet littl thing pride joy ,blues
sweet littl babi im littl lover boy ,blues
yeah love babi heart soul ,blues
love like never grow old ,blues
sweet littl thing pride joy ,blues
sweet littl babi im littl lover boy ,blues
well floodin texa ,blues
telephon line ,blues
well floodin texa ,blues
telephon line ,blues
ive tryin call babi ,blues
lord cant get singl sound ,blues
well dark cloud rollin ,blues
man im standin rain ,blues
well dark cloud rollin ,blues
man im standin rain ,blues
yeah flood water keep rollin ,blues
man drive poor insan ,blues
well im leavin babi ,blues
lord im goin back home stay ,blues
well im leavin babi ,blues
lord im goin back home stay ,blues
well back home know flood tornado ,blues
babi sun shine everi day ,blues
well tell mewhat world wrong ,blues
said tell mewhat world wrong ,blues
woke mornintroubl knockin door ,blues
wonder what troublegreat big troubl door ,blues
wonder what troublegreat big troubl door ,blues
ye im goin macondont wanna ,blues
id better forget itlet troubl pa ,blues
id better forget itlet troubl pa ,blues
ye wonder sometimehow long troubl gonna last ,blues
said goodby goodby babi got go ,blues
said goodby goodby babi got go ,blues
aint hangin round hereworri there troubl ,blues
troubl knockintroubl knockin ,blues
troubl knockintroubl knockin ,blues
troubl knockinc ,blues
mari littl lamb ,blues
fleec white snow yeah ,blues
everywher child went ,blues
littl lamb sure go ,blues
follow school one day ,blues
broke teacher cool ,blues
time ,blues
day school ,blues
tisket tasket babi ,blues
green yellow basket ,blues
